분야,사업내용,사업기간,직접수행,지자체보조,민간보조,출연,위탁,융자,지방비매칭,시행주체,지방비매칭여부,사업비,단위사업명,경비내역1,경비내역1사업비,경비내역2,경비내역2사업비,경비내역3,경비내역3사업비,경비내역4,경비내역4사업비,경비내역5,경비내역5사업비,경비내역6,경비내역6사업비,경비내역7,경비내역7사업비,경비내역8,경비내역8사업비,출처파일,매칭패턴,주요부처,사업비규모,사업유형,지역관련성,민간참여도,성과계획서매칭,해당_성과계획서_파일,PDF_매칭여부,PDF_사업명,PDF_예산_억원,PDF_예산_백만원,예산_검증상태,예산_오차율,PDF_출처페이지,예산_숫자,경북관련도점수,경북관련성_최종
,지방상수도개발 및 유역단위 용수공급 등,계속사업,Y,Y,Y,Y,N,N,Y,"국가, 지자체, 한국환경산업기술원",143억원,"1,286,120,000천원",상수원보호구역주민지원,상수원보호구역주민지원,"2,000,000천원",수돗물 공급 안전 강화,"8,058,000천원",물산업 및 물기,"143,244,000천원",상수도 연구관리,"10,544,000천원",상수도정보화시스템구축(정보화),"2,215,000천원",상수도 과불화화합물 대응 기술개발사업(R&D),"3,700,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 지자체보조, 민간보조, 출연, 지방비매칭",산업통상자원부,대규모(1000억원 이상),R&D/연구개발,지역특화,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,1286120000,169.0,C급_정책참고
,생태계 우수지역에 대한 보존 및 관리,계속사업,Y,Y,N,Y,N,N,Y,"국가, 한국환경산업기술원 등",56억원,"152,674,000천원",국토환경 녹색복원,국토환경 녹색복원,"9,826,000천원",생태계보전부담금 반환사업,"14,100,000천원",생태경관보전지역 및 특정도서 관리,"7,313,000천원",자연자원의 이용,"152,674,000천원",기후변화 적응을 위한 생태계 복원 및 관리 기술개발사업(,"5,900,000천원",,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 출연",산업통상자원부,대규모(1000억원 이상),운영/관리,지역특화,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,152674000,143.0,C급_정책참고
,지역별 재난이슈현안(중점 연구분야) 해결을 위해 지자체가 기획 발굴한 연구과제 지원,계속사업,Y,Y,N,Y,N,N,Y,한국산업기술기획평가원,46.5억원,"3,409,707,000천원",지역일자리창출,지역맞춤형 재난안전 문제해결 기술개발(2단계)(R&D),"8,400,000천원",지역일자리창출,"5,250,000천원",장(분야),080천원,사회복지,"5,250,000천원",000 관(부문),082천원,취약계층지원,"5,250,000천원",000 3100 일자리지원,"5,250,000천원",,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"직접수행, 지자체보조, 지방비매칭",산업통상자원부,대규모(1000억원 이상),R&D/연구개발,지역특화,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,3409707000,117.0,C급_정책참고
,지역산업의 경쟁력강화 및 활성화 촉진,계속사업,Y,Y,Y,Y,N,N,Y,"국가, 지자체, 한국산업기술기획평가원",37억원,"251,347,000천원",지역균형발전지원,지역혁신클러스터육성(R&D),"69,947,000천원",지역균형발전지원,"20,663,000천원",산업집적지경쟁력강화(R&D),"29,160,000천원",한국산업기술진흥원 기획평가관리비(지특)(R&D),"11,482,000천원",지역투자유치활,"251,347,000천원",지역혁신클러스터육성,"8,020,000천원",지방주도형투자일자리지원,"1,565,000천원",지역산업위기대응,"17,922,000천원",2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"지자체보조, 민간보조, 지방비매칭",산업통상자원부,대규모(1000억원 이상),지원/보조,지역특화,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,251347000,104.0,C급_정책참고
,세종지역 경제활성화 도모,계속사업,N,Y,N,Y,N,N,Y,"지자체, 한국산업기술기획평가원",35억원,"1,410,285,000천원",지방주도형투자일자리지원(세종),지역혁신클러스터육성(R&D)(세종),"5,425,000천원",지방주도형투자일자리지원(세종),"240,000천원",지역투자유치활,"5,026,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"지자체보조, 지방비매칭",산업통상자원부,대규모(1000억원 이상),지원/보조,지역특화,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,1410285000,104.0,C급_정책참고
,산업계가 원하는 녹색 융합기술 인재를 육성,계속사업,Y,N,N,Y,N,N,N,"국가, 한국환경산업기술원",,"251,720,000천원",녹색 융합기술 인재 양성,녹색 융합기술 인재 양성,"44,616,000천원",관(부문),202천원,출연사업,"251,720,000천원",6 예산안,202천원,감 사 업 개 요 및 경 비 내 역 항(프로그램) 사업(단위사업),4천원,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,출연,산업통상자원부,대규모(1000억원 이상),교육/인재양성,전국단위,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,251720000,104.0,C급_정책참고
,환경피해 사후관리,계속사업,Y,N,N,Y,N,N,N,"국가, 한국환경산업기술원",,"161,730,000천원",가습기살균제 피해자 지원,가습기살균제 피해자 지원,"21,984,000천원",화학물질 관리기,"124,313,000천원",환경오염 피해 구제제도 개선,"787,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 출연",산업통상자원부,대규모(1000억원 이상),지원/보조,전국단위,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,161730000,104.0,C급_정책참고
,"화학사고 예방, 대응, 사후관리를 위한 제도 운영 및 기반 마련",계속사업,Y,N,Y,Y,N,N,N,"국가, 민간, 한국환경산업기술원",,"726,512,000천원",화학물질안전원 및 교육훈련장 운영,국제환경 협력체,"18,583,000천원",화학물질안전원 및 교육훈련장 운영,"4,511,000천원",화학물질정보통합시스템구축(정보화),"3,859,000천원",화학물질 안전교육 수입대체경비,"226,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 민간보조",산업통상자원부,대규모(1000억원 이상),교육/인재양성,전국단위,관민협력(2자),매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,726512000,104.0,C급_정책참고
,"달 표면 탐사 능력 확보, 우주환경에서 제조 및 결과물을 회수하 는 전주기 실증수행 등",계속사업,Y,N,N,Y,N,N,N,"국가, 한국천문연구원 등",,"1,113,089,000천원",항공융합기술개,달탐사2단계(달착륙선개발)사업(R&D),"80,907,000천원",항공융합기술개,"27,540,000천원",국제 거대전파망원경 건설 사업(R&D),"6,883,000천원",우주소형무인제조플랫폼실증사업(R&D),"3,000,000천원",우주기술실용화촉진지원사업(R&D),"3,200,000천원",,,,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,국가기관,대규모(1000억원 이상),R&D/연구개발,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,1113089000,99.00000000000001,C급_정책참고
,국제환경규제에 대응하여 국내기업의 환경 경쟁력 강화를 위해 신 환경산업기반구축,계속사업,Y,N,Y,Y,N,N,N,"국가, 한국생산기술연구원 등",,"273,334,000천원",글로벌환경규제대응및자원생산성기반구축,글로벌환경규제대응및자원생산성기반구축,"1,409,000천원",디지털제품여권대응한국형산업공급망데이터플랫폼구축사,"705,000천원",탄소저감형 건설기계 재제조 품질인증 기반구축을 통한,"500,000천원",생산성향상지원,"6,213,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"직접수행, 민간보조",국가기관,대규모(1000억원 이상),인프라/건설,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,273334000,99.00000000000001,C급_정책참고
